######################################################################
# Flux calibration file: fluxcal_20140520232930.txt
# Date: 20140520
# Time: 23:29:30
# Target flux =  2000.00
# Exposure Limits =     2.00      60.00
# Lamp bulb hours = 188.0
# Last calibration file: fluxcal_20140430010222.txt
######################################################################
command    wl     flux       signal    exptime   previous    % change
fluxcal    860     4464.92    15703.02     3.52      568.67    685.15
fluxcal    865     4539.99    15679.20     3.45      579.11    683.96
fluxcal    870     4606.15    15636.60     3.39      589.15    681.83
fluxcal    875     4668.67    15601.76     3.34      598.48    680.09
fluxcal    880     4721.14    15544.13     3.29      607.45    677.21
fluxcal    885     4771.54    15498.79     3.25      615.73    674.94
fluxcal    890     4810.05    15446.79     3.21      622.79    672.34
fluxcal    895     4843.58    15384.99     3.18      629.65    669.25
fluxcal    900     4867.68    15311.73     3.15      635.81    665.59
fluxcal    905     4892.88    15240.02     3.11      642.11    662.00
fluxcal    910     4904.12    15150.90     3.09      647.37    657.54
fluxcal    915     4908.78    15062.00     3.07      651.81    653.10
fluxcal    920     4906.34    14975.71     3.05      655.24    648.79
fluxcal    925     4876.02    14873.84     3.05      655.65    643.69
fluxcal    930     4799.93    14731.62     3.07      651.65    636.58
fluxcal    935     4654.77    14571.42     3.13      638.89    628.57
fluxcal    940     4528.08    14447.78     3.19      626.82    622.39
fluxcal    945     4371.02    14314.78     3.27      610.70    615.74
fluxcal    950     4212.10    14166.40     3.36      594.66    608.32
fluxcal    955     4085.61    14062.12     3.44      581.08    603.11
fluxcal    960     3944.43    13939.90     3.53      565.92    596.99
fluxcal    965     3784.62    13812.23     3.65      548.01    590.61
fluxcal    970     3606.24    13655.87     3.79      528.16    582.79
fluxcal    975     3405.99    13484.28     3.96      505.18    574.21
fluxcal    980     3202.32    13294.24     4.15      481.76    564.71
fluxcal    985     2986.10    13098.39     4.39      455.95    554.92
fluxcal    990     2745.55    12857.92     4.68      427.06    542.90
fluxcal    995     2495.18    12603.52     5.05      395.95    530.18
fluxcal   1000     2256.56    12336.67     5.47      365.83    516.83
fluxcal   1005     2004.69    12017.08     5.99      333.64    500.85
fluxcal   1010     1752.08    11675.86     6.66      300.12    483.79
fluxcal   1015     1509.73    11294.45     7.48      267.34    464.72
fluxcal   1020     1280.63    10876.75     8.49      235.48    443.84
fluxcal   1025     1078.90    10444.33     9.68      206.60    422.22
fluxcal   1030      899.73    10010.87    11.13      179.75    400.54
fluxcal   1035      731.53     9454.94    12.92      154.74    372.75
fluxcal   1040      566.42     8646.30    15.26      131.02    332.32
fluxcal   1045      461.26     8531.65    18.50      108.13    326.58
fluxcal   1050      396.93     8848.26    22.29       89.72    342.41
fluxcal   1055      346.59     8658.17    24.98       80.06    332.91
fluxcal   1060      295.04     8422.57    28.55       70.06    321.13
fluxcal   1065      253.37     8222.27    32.45       61.63    311.11
fluxcal   1070      216.43     8011.51    37.02       54.03    300.58
fluxcal   1075      183.56     7758.37    42.27       47.32    287.92
fluxcal   1080      158.33     7586.72    47.92       41.74    279.34
fluxcal   1085      137.32     7414.68    54.00       37.04    270.73
fluxcal   1090      118.88     7132.74    60.00       33.19    258.18
fluxcal   1095      102.69     6161.35    60.00       29.76    245.06
fluxcal   1100       87.93     5275.85    60.00       26.52    231.56
